Landscape,Chrono,Chronosecuence,Plot,Species,abun,ab
Mountain,Intermediate Forest,IF,DM17,Aniba parviflora,1,179.1444892
Mountain,Intermediate Forest,IF,DM7,Aniba sp. 1,1,2.11665167
Mountain,Old Forest,OF,RM13,Aniba sp. 5,1,869.9809229
Mountain,Intermediate Forest,IF,DM12,Annona amazonica,1,1712.055402
Mountain,Degraded Pasture,DP,DM6,Annona ambotay,3,0.112186732
Mountain,Old Forest,OF,RM14,Annona ambotay,2,546.571327
Mountain,Intermediate Forest,IF,DM12,Annona duckei,2,0.421433074
Mountain,Intermediate Forest,IF,DM14,Annona duckei,1,62.72266666
Mountain,Intermediate Forest,IF,DM17,Annona duckei,2,1939.860819
Mountain,Intermediate Forest,IF,DM13,Annona hypoglauca,1,114.3159002
Hill,Intermediate Forest,IF,DL16,Annona mucosa,1,1.494057086
Mountain,Early Forest,EF,DM1,Annona mucosa,2,0.600904418
Hill,Intermediate Forest,IF,DL16,Annona neoamazonica,2,5233.76874
Hill,Early Forest,EF,DL2,Annona neoamazonica,1,286.4869866
Hill,Intermediate Forest,IF,DL5,Annona neoamazonica,1,430.989873
Hill,Intermediate Forest,IF,DL7,Annona neoamazonica,1,75.55133117
Mountain,Early Forest,EF,DM1,Annona neoamazonica,2,21.16712684
Mountain,Intermediate Forest,IF,DM17,Annona neoamazonica,4,22317.28293
Mountain,Intermediate Forest,IF,DM8,Annona neoamazonica,2,0.049675543
Mountain,Intermediate Forest,IF,DM17,Annonaceae sp. 1,1,20.87351625
Mountain,Old Forest,OF,RM13,Anthodiscus pilosus,1,30.89605263
Hill,Early Forest,EF,DL2,Aparisthmium cordatum,1,33.85644996
Mountain,Early Forest,EF,DM10,Aparisthmium cordatum,3,0.102919209
Mountain,Old Forest,OF,RM3,Aparisthmium cordatum,1,21.13621733
Mountain,Old Forest,OF,RM8,Aparisthmium cordatum,25,475.7664487
Hill,Intermediate Forest,IF,DL5,Apeiba macropetala,2,176.0910033
Mountain,Early Forest,EF,DM1,Apeiba membranacea,3,103.0066144
Mountain,Intermediate Forest,IF,DM13,Apeiba membranacea,6,5393.899678
Mountain,Intermediate Forest,IF,DM17,Apeiba membranacea,3,239.3132175
Mountain,Old Forest,OF,RM13,Apeiba membranacea,1,34.34173772
Hill,Intermediate Forest,IF,DL13,Aptandra caudata,3,0.263407845
Hill,Intermediate Forest,IF,DL14,Aptandra caudata,6,276.064635
Mountain,Old Forest,OF,RM14,Aptandra caudata,1,84.42690601
Hill,Old Forest,OF,RL4,Aspidosperma desmanthum,1,6326.210472
Mountain,Old Forest,OF,RM3,Aspidosperma desmanthum,1,0.00287476
Mountain,Old Forest,OF,RM9,Aspidosperma desmanthum,2,65.23779035
Mountain,Intermediate Forest,IF,DM13,Aspidosperma excelsum,2,30.02086804
Mountain,Old Forest,OF,RM11,Aspidosperma excelsum,2,1983.608628
Mountain,Old Forest,OF,RM13,Aspidosperma excelsum,1,3719.859562
Mountain,Old Forest,OF,RM14,Aspidosperma excelsum,1,14690.53665
Mountain,Old Forest,OF,RM9,Aspidosperma excelsum,2,230.2893429
Hill,Intermediate Forest,IF,DL14,Aspidosperma rigidum,1,40.715136
Mountain,Old Forest,OF,RM3,Aspidosperma sp. 1,2,0.15887405
Hill,Early Forest,EF,DL12,Astrocaryum chambira,1,4926.780274
Hill,Intermediate Forest,IF,DL13,Astrocaryum chambira,11,10555.70226
Hill,Intermediate Forest,IF,DL16,Astrocaryum chambira,1,1382.283055
Hill,Intermediate Forest,IF,DL5,Astrocaryum chambira,4,5975.80085
Hill,Old Forest,OF,RL2,Astrocaryum chambira,1,2.96E-06
Mountain,Old Forest,OF,RM14,Astrocaryum chambira,3,2281.497952
Hill,Early Forest,EF,DL12,Astrocaryum cuatrecasasianum,1,1218.99116
Hill,Early Forest,EF,DL2,Astrocaryum cuatrecasasianum,3,1443.461145
Hill,Intermediate Forest,IF,DL5,Astrocaryum cuatrecasasianum,3,398.0193949
Hill,Intermediate Forest,IF,DL7,Astrocaryum cuatrecasasianum,3,941.4285972
Hill,Intermediate Forest,IF,DL3,Astronium graveolens,1,1.435635802
Mountain,Old Forest,OF,RM13,Astronium graveolens,3,347.4343726
Mountain,Old Forest,OF,RM14,Astronium graveolens,1,1.435635802
Mountain,Old Forest,OF,RM9,Astronium graveolens,1,2.379243832
Hill,Degraded Pasture,DP,DL11,Attalea maripa,4,8861.245909
Hill,Early Forest,EF,DL12,Attalea maripa,2,6006.927995
Hill,Intermediate Forest,IF,DL13,Attalea maripa,2,7710.690324
Hill,Intermediate Forest,IF,DL14,Attalea maripa,9,5114.729155
Hill,Intermediate Forest,IF,DL16,Attalea maripa,3,10609.4965
Hill,Early Forest,EF,DL2,Attalea maripa,6,9162.143138
Hill,Intermediate Forest,IF,DL3,Attalea maripa,12,16415.85115
Hill,Intermediate Forest,IF,DL5,Attalea maripa,1,2951.223874
Mountain,Old Forest,OF,RM3,Attalea maripa,1,979.8808144
Hill,Early Forest,EF,DL12,Bactris corossilla,17,0.237758055
Hill,Intermediate Forest,IF,DL13,Bactris corossilla,1,0.00287476
Mountain,Intermediate Forest,IF,DM14,Bactris corossilla,1,0.004071514
Hill,Early Forest,EF,DL6,Bactris hirta,1,0.262389574
Hill,Degraded Pasture,DP,DL10,Bactris maraja,23,0.975664917
Hill,Intermediate Forest,IF,DL16,Bactris maraja,1,0.012867994
Hill,Early Forest,EF,DL2,Bactris maraja,1,0.294647719
Hill,Old Forest,OF,RL3,Bactris maraja,1,0.012867994
Mountain,Intermediate Forest,IF,DM12,Balizia pedicellaris,11,1410.230314
Mountain,Early Forest,EF,DM1,Banara guianensis,9,3.481877603
Mountain,Early Forest,EF,DM2,Banara guianensis,1,1.93100329
Mountain,Intermediate Forest,IF,DM8,Batocarpus orinocensis,1,0.120687706
Mountain,Old Forest,OF,RM13,Batocarpus orinocensis,1,0.805157719
Mountain,Intermediate Forest,IF,DM17,Bauhinia arborea,1,0.015308643
Hill,Old Forest,OF,RL2,Beilschmiedia sp. 2,1,6.84E-05
Hill,Degraded Pasture,DP,DL11,Bellucia grossularioides,23,3.235331796
Hill,Early Forest,EF,DL12,Bellucia grossularioides,3,988.2628702
Mountain,Degraded Pasture,DP,DM11,Bellucia grossularioides,50,7141.135447
Mountain,Intermediate Forest,IF,DM12,Bellucia grossularioides,2,536.3542367
Mountain,Intermediate Forest,IF,DM13,Bellucia grossularioides,1,305.6086985
Mountain,Intermediate Forest,IF,DM14,Bellucia grossularioides,2,542.5541224
Mountain,Early Forest,EF,DM16,Bellucia grossularioides,2,62.11908078
Mountain,Old Forest,OF,RM14,Bellucia grossularioides,1,28.7476035
Hill,Degraded Pasture,DP,DL10,Bellucia pentamera,6,28.07479864
Hill,Intermediate Forest,IF,DL16,Bellucia pentamera,2,252.6004137
Hill,Early Forest,EF,DL6,Bellucia pentamera,14,2.715479863
Mountain,Early Forest,EF,DM1,Bellucia pentamera,1,0.011333334
Mountain,Degraded Pasture,DP,DM6,Bellucia pentamera,20,1.334859272
Mountain,Intermediate Forest,IF,DM7,Bellucia pentamera,2,234.1741153
Mountain,Old Forest,OF,RM3,Bellucia pentamera,2,1475.870046
Hill,Early Forest,EF,DL2,Bellucia strigosa,3,0.650791865
Mountain,Intermediate Forest,IF,DM14,Bellucia strigosa,2,37.51610583
Mountain,Old Forest,OF,RM3,Bellucia strigosa,12,106.7135955
Mountain,Old Forest,OF,RM13,Besleria Inaequalis,1,0.007542982
Mountain,Intermediate Forest,IF,DM13,Besleria leucostoma,2,0.007571452
Hill,Early Forest,EF,DL12,Brosimum acutifolium,2,69.10273413
Mountain,Intermediate Forest,IF,DM14,Brosimum acutifolium,2,158.2071999
Hill,Intermediate Forest,IF,DL13,Brosimum guianense,1,46.42133718
Hill,Intermediate Forest,IF,DL16,Brosimum guianense,1,348.8753405
Hill,Early Forest,EF,DL6,Brosimum guianense,1,0.005607952
Hill,Intermediate Forest,IF,DL14,Brosimum lactescens,5,244.7764854
Hill,Old Forest,OF,RL2,Brosimum lactescens,1,1.39E-05
Mountain,Old Forest,OF,RM11,Brosimum lactescens,1,0.089727238
Mountain,Old Forest,OF,RM14,Brosimum lactescens,1,75.429816
Mountain,Old Forest,OF,RM9,Brosimum lactescens,2,34.67153032
Mountain,Intermediate Forest,IF,DM14,Brosimum longifolium,3,75.55757076
Mountain,Intermediate Forest,IF,DM8,Brosimum longifolium,2,12.3859999
Mountain,Old Forest,OF,RM11,Brosimum longifolium,7,1.017121863
Mountain,Old Forest,OF,RM13,Brosimum longifolium,1,0.065144218
Mountain,Old Forest,OF,RM9,Brosimum longifolium,1,0.020612038
Mountain,Intermediate Forest,IF,DM13,Brosimum rubescens,1,0.329792602
Hill,Old Forest,OF,RL3,Brosimum rubescens,2,0.213430879
Mountain,Old Forest,OF,RM11,Brosimum rubescens,3,0.398543769
Mountain,Old Forest,OF,RM14,Brosimum rubescens,3,194.4650247
Mountain,Intermediate Forest,IF,DM8,Brosimum sp. 1,2,1031.700197
Mountain,Intermediate Forest,IF,DM14,Brosimum utile,3,468.1534986
Mountain,Intermediate Forest,IF,DM17,Brosimum utile,1,31.6552633
Mountain,Intermediate Forest,IF,DM7,Brosimum utile,1,0.036752277
Hill,Old Forest,OF,RL2,Brosimum utile,2,6.23E-06
Mountain,Old Forest,OF,RM3,Brosimum utile,1,30.59537766
Hill,Intermediate Forest,IF,DL13,Brownea ariza,8,35.67415075
Hill,Intermediate Forest,IF,DL13,Brownea coccinea,4,168.1063282
Mountain,Old Forest,OF,RM13,Brownea coccinea,1,360.5058259
Hill,Intermediate Forest,IF,DL14,Buchenavia congesta,1,939.4072327
Mountain,Old Forest,OF,RM11,Buchenavia congesta,1,3334.722603
Mountain,Old Forest,OF,RM8,Buchenavia congesta,1,443.4624786
Mountain,Old Forest,OF,RM11,Byrsonima cognata,4,61.81143298
Mountain,Old Forest,OF,RM3,Byrsonima crispa,3,3086.587752
Hill,Degraded Pasture,DP,DL11,Byrsonima japurensis,4,0.214713045
Hill,Degraded Pasture,DP,DL11,Byrsonima krukoffii,7,702.0905931
Hill,Early Forest,EF,DL12,Byrsonima krukoffii,4,521.8553203
Hill,Intermediate Forest,IF,DL13,Byrsonima krukoffii,4,431.7224482
Hill,Intermediate Forest,IF,DL16,Byrsonima krukoffii,1,0.016399348
Mountain,Intermediate Forest,IF,DM12,Byrsonima krukoffii,6,551.6564347
Mountain,Early Forest,EF,DM16,Byrsonima krukoffii,3,1251.94324
Mountain,Old Forest,OF,RM3,Byrsonima krukoffii,3,51.7860532
Mountain,Intermediate Forest,IF,DM13,Byrsonima sp. 1,1,165.1362737
Hill,Old Forest,OF,RL2,Byrsonima sp. 1,2,2.04E-10
Mountain,Old Forest,OF,RM13,Byrsonima sp. 1,1,11788.31416
Mountain,Intermediate Forest,IF,DM7,Byrsonima spicata,2,0.014260155
Mountain,Old Forest,OF,RM13,Cabralea canjerana,1,116.2864999
Hill,Early Forest,EF,DL6,Calliandra riparia,29,69.28110445
Mountain,Intermediate Forest,IF,DM7,Calliandra surinamensis,6,23.78556129
Mountain,Old Forest,OF,RM11,Calliandra surinamensis,7,619.7566367
Mountain,Old Forest,OF,RM8,Callicarpa acuminata,2,0.066608203
Hill,Intermediate Forest,IF,DL13,Callichlamys latifolia,1,0.005607952
Hill,Intermediate Forest,IF,DL14,Callichlamys latifolia,2,78216.09547
Mountain,Old Forest,OF,RM14,Callichlamys latifolia,1,0.065144218
Mountain,Old Forest,OF,RM3,Callichlamys latifolia,1,0.00287476
Mountain,Early Forest,EF,DM2,Calyptranthes,2,0.038748899
Hill,Old Forest,OF,RL4,Calyptranthes lanceolata,1,81.92506202
Mountain,Old Forest,OF,RM13,Calyptranthes macrophylla,1,25.73747966
Hill,Degraded Pasture,DP,DL11,Calyptranthes multiflora,16,1.065482083
Hill,Old Forest,OF,RL2,Calyptranthes sp. 1,8,2.55E-06
Mountain,Old Forest,OF,RM3,Calyptranthes sp. 1,22,156.0490937
Hill,Old Forest,OF,RL4,Calyptranthes speciosa,1,1.047946723
Mountain,Old Forest,OF,RM13,Calyptranthes speciosa,5,16.20493907
Hill,Intermediate Forest,IF,DL16,Campomanesia speciosa,1,0.065144218
Mountain,Intermediate Forest,IF,DM13,Capirona decortican,2,168.1735999
Hill,Early Forest,EF,DL2,Capparidastrum macrophyllum,1,37.77794336
Mountain,Intermediate Forest,IF,DM13,Capparidastrum sola,2,0.332834063
Mountain,Intermediate Forest,IF,DM7,Caraipa grandifolia,1,1920.704972
Mountain,Intermediate Forest,IF,DM7,Caraipa longipedicellata,7,12680.51129
Mountain,Old Forest,OF,RM9,Carapichea affinis,1,1.435635802
Mountain,Old Forest,OF,RM9,Carapichea klugii,4,14.9169298
Mountain,Intermediate Forest,IF,DM7,Caryocar glabrum,2,33.11364423
Mountain,Intermediate Forest,IF,DM8,Caryocar glabrum,1,37.778071
Hill,Old Forest,OF,RL4,Caryocar glabrum,1,116968.1829
Mountain,Old Forest,OF,RM13,Caryocar glabrum,1,32942.06362
Mountain,Old Forest,OF,RM3,Caryocar glabrum,7,9007.765326
Hill,Old Forest,OF,RL2,Caryocar pallidum,1,1.29E-10
Mountain,Old Forest,OF,RM13,Caryocar pallidum,1,0.009940219
Mountain,Old Forest,OF,RM9,Caryocar pallidum,1,0.007542982
Hill,Early Forest,EF,DL12,Casearia arborea,3,146.2908318
Hill,Intermediate Forest,IF,DL13,Casearia arborea,7,200.8217886
Hill,Intermediate Forest,IF,DL16,Casearia arborea,11,993.2219828
Hill,Early Forest,EF,DL2,Casearia arborea,3,338.213314
Hill,Intermediate Forest,IF,DL3,Casearia arborea,8,571.9573693
Mountain,Early Forest,EF,DM1,Casearia arborea,9,1.344380568
Mountain,Early Forest,EF,DM10,Casearia arborea,1,4.450689208
Mountain,Intermediate Forest,IF,DM12,Casearia arborea,6,164.1347039
Mountain,Intermediate Forest,IF,DM13,Casearia arborea,10,440.2529244
Mountain,Intermediate Forest,IF,DM14,Casearia arborea,2,153.5933748
Mountain,Early Forest,EF,DM16,Casearia arborea,1,29.22474843
Mountain,Intermediate Forest,IF,DM17,Casearia arborea,42,6326.52153
Mountain,Degraded Pasture,DP,DM6,Casearia arborea,1,0.003089605
Mountain,Intermediate Forest,IF,DM8,Casearia arborea,2,0.199506993
Mountain,Old Forest,OF,RM9,Casearia arborea,3,16.1155256
Mountain,Old Forest,OF,RM14,Casearia commersoniana,6,12.06736391
Mountain,Old Forest,OF,RM9,Casearia commersoniana,4,896.9434601
Hill,Early Forest,EF,DL12,Casearia fasciculata,1,19.635
Hill,Intermediate Forest,IF,DL16,Casearia fasciculata,4,4.329485902
Mountain,Early Forest,EF,DM1,Casearia fasciculata,4,0.492362408
Mountain,Intermediate Forest,IF,DM13,Casearia fasciculata,1,0.0019635
Mountain,Intermediate Forest,IF,DM17,Casearia fasciculata,6,10.80807459
Hill,Intermediate Forest,IF,DL13,Casearia javitensis,3,3.869373828
Hill,Intermediate Forest,IF,DL14,Casearia javitensis,3,1349.458635
Hill,Intermediate Forest,IF,DL16,Casearia javitensis,5,7.336927941
Hill,Early Forest,EF,DL2,Casearia javitensis,6,0.556220476
Hill,Intermediate Forest,IF,DL3,Casearia javitensis,29,37.45264425
Hill,Intermediate Forest,IF,DL5,Casearia javitensis,5,382.8855641
Mountain,Degraded Pasture,DP,DM11,Casearia javitensis,14,2.599803984
Mountain,Intermediate Forest,IF,DM12,Casearia javitensis,12,0.758993478
Mountain,Intermediate Forest,IF,DM14,Casearia javitensis,3,95.87520654
Mountain,Degraded Pasture,DP,DM15,Casearia javitensis,14,3.460858768
Mountain,Early Forest,EF,DM16,Casearia javitensis,1,0.007457145
Mountain,Intermediate Forest,IF,DM17,Casearia javitensis,3,0.912836392
Mountain,Old Forest,OF,RM13,Casearia javitensis,1,0.232855588
Mountain,Old Forest,OF,RM3,Casearia javitensis,1,0.038186344
Hill,Intermediate Forest,IF,DL7,Casearia mariquitensis,1,0.262389574
Hill,Intermediate Forest,IF,DL7,Casearia nigricans,7,0.586499414
Hill,Early Forest,EF,DL12,Casearia pitumba,6,2.485163465
Mountain,Intermediate Forest,IF,DM8,Casearia sp. 2,1,0.181333348
Hill,Early Forest,EF,DL12,Casearia sylvestris,4,6.785959869
Hill,Intermediate Forest,IF,DL13,Casearia sylvestris,3,434.7268455
Hill,Early Forest,EF,DL6,Casearia sylvestris,18,0.659260637
Mountain,Intermediate Forest,IF,DM13,Casearia sylvestris,3,201.5748033
Mountain,Old Forest,OF,RM13,Casearia sylvestris,2,360.948066
Hill,Intermediate Forest,IF,DL13,Castilla ulei,3,0.22029233
Hill,Intermediate Forest,IF,DL3,Castilla ulei,1,0.007542982
Hill,Old Forest,OF,RL3,Castilla ulei,1,0.00287476
Mountain,Old Forest,OF,RM11,Catostemma commune,1,3882.897949
Hill,Degraded Pasture,DP,DL11,Cecropia distachya,2,0.21149585
Mountain,Intermediate Forest,IF,DM8,Cecropia distachya,1,430.9913292
Mountain,Early Forest,EF,DM1,Cecropia engleriana,1,163.9071543
Hill,Early Forest,EF,DL12,Cecropia ficifolia,1,63.30676173
Hill,Early Forest,EF,DL6,Cecropia ficifolia,1,4.808399126
Hill,Intermediate Forest,IF,DL7,Cecropia ficifolia,2,297.8327211
Mountain,Early Forest,EF,DM1,Cecropia ficifolia,1,1.2271875
Hill,Intermediate Forest,IF,DL16,Cecropia sciadophylla,2,251.965702
Hill,Intermediate Forest,IF,DL3,Cecropia sciadophylla,2,252.1266778
Hill,Intermediate Forest,IF,DL5,Cecropia sciadophylla,1,765.4380404
Hill,Intermediate Forest,IF,DL7,Cecropia sciadophylla,2,776.0648884
Mountain,Early Forest,EF,DM1,Cecropia sciadophylla,3,5548.889922
Mountain,Intermediate Forest,IF,DM17,Cecropia sciadophylla,4,13939.63497
Mountain,Early Forest,EF,DM2,Cecropia sciadophylla,15,7599.140373
Hill,Old Forest,OF,RL2,Cecropia sciadophylla,1,3.94E-07
Hill,Old Forest,OF,RL3,Cecropia sciadophylla,2,3704.864296
Hill,Old Forest,OF,RL4,Cecropia sciadophylla,1,627.6446367
Mountain,Old Forest,OF,RM13,Cecropia sciadophylla,1,3882.897949
Mountain,Intermediate Forest,IF,DM13,Cedrela odorata,9,7232.07142
Mountain,Intermediate Forest,IF,DM17,Cedrela odorata,1,34.23431873
Mountain,Old Forest,OF,RM11,Cedrela odorata,1,588.7004059
Hill,Intermediate Forest,IF,DL14,Cedrelinga cateniformis,1,1699.1443
Mountain,Intermediate Forest,IF,DM13,Cedrelinga cateniformis,1,156.6617749
Mountain,Intermediate Forest,IF,DM7,Cedrelinga cateniformis,4,1004.35983
Mountain,Intermediate Forest,IF,DM8,Cedrelinga cateniformis,1,59.78954783
Hill,Old Forest,OF,RL3,Cedrelinga cateniformis,5,168440.0468
Mountain,Old Forest,OF,RM11,Cedrelinga cateniformis,5,13101.66772
Mountain,Old Forest,OF,RM8,Cedrelinga cateniformis,23,28025.52542
Mountain,Old Forest,OF,RM9,Cedrelinga cateniformis,2,1173.265206
Mountain,Intermediate Forest,IF,DM12,Cespedesia spathulata,1,102.6141662
Mountain,Degraded Pasture,DP,DM15,Cespedesia spathulata,7,7.814409151
Mountain,Old Forest,OF,RM8,Cespedesia spathulata,8,50955.31487
Hill,Intermediate Forest,IF,DL7,Cestrum schlechtendalii,4,0.096318903
Mountain,Old Forest,OF,RM9,Chamaedorea pinnatifrons,1,0.038186344
Mountain,Old Forest,OF,RM13,Chaunochiton sp. 1,1,2980.295805
Hill,Intermediate Forest,IF,DL5,Chelyocarpus ulei,1,4.721958198
Mountain,Intermediate Forest,IF,DM8,Chimarrhis glabriflora,3,50.65268683
Mountain,Intermediate Forest,IF,DM17,Chimarrhis sp. 1,11,892.8991258
Hill,Early Forest,EF,DL12,Chomelia tenuiflora,1,0.0019635
Mountain,Intermediate Forest,IF,DM17,Chomelia tenuiflora,1,0.699825928
Mountain,Intermediate Forest,IF,DM7,Chrysochlamys bracteolata,1,0.13508305
Hill,Old Forest,OF,RL2,Chrysochlamys bracteolata,1,2.87E-07
Mountain,Old Forest,OF,RM9,Chrysochlamys bracteolata,5,84.92635777
Mountain,Intermediate Forest,IF,DM13,Chrysochlamys dependens,1,163.9050674
Mountain,Intermediate Forest,IF,DM14,Chrysochlamys dependens,2,0.197229844
Mountain,Intermediate Forest,IF,DM17,Chrysochlamys dependens,9,397.4990968
Mountain,Intermediate Forest,IF,DM8,Chrysochlamys dependens,7,1.408360221
Mountain,Old Forest,OF,RM14,Chrysochlamys dependens,1,0.00287476
Hill,Intermediate Forest,IF,DL3,Chrysochlamys membranacea,1,34.99918368
Hill,Intermediate Forest,IF,DL5,Chrysochlamys membranacea,1,45.6833893
Hill,Old Forest,OF,RL3,Chrysochlamys membranacea,2,0.384374956
Mountain,Intermediate Forest,IF,DM14,Chrysophyllum bombycinum,1,0.0019635
Hill,Old Forest,OF,RL2,Chrysophyllum bombycinum,1,1.10E-06
Hill,Old Forest,OF,RL4,Chrysophyllum bombycinum,4,294.1396539
Mountain,Old Forest,OF,RM11,Chrysophyllum bombycinum,5,17517.51006
Mountain,Old Forest,OF,RM9,Chrysophyllum bombycinum,3,4510.680792
Hill,Old Forest,OF,RL2,Chrysophyllum manaosense,1,2.02E-06
Hill,Old Forest,OF,RL4,Chrysophyllum manaosense,1,911.3534131
Mountain,Old Forest,OF,RM11,Chrysophyllum manaosense,1,0.031416
Mountain,Old Forest,OF,RM13,Chrysophyllum manaosense,3,0.904787083
Mountain,Intermediate Forest,IF,DM7,Chrysophyllum prieurii,1,3038.02906
Mountain,Old Forest,OF,RM14,Chrysophyllum prieurii,2,99.29628122
Mountain,Old Forest,OF,RM3,Chrysophyllum prieurii,1,35.77657899
